app,id,primary_clue,issue_key,group_size,primary_category
jayme,10010000007924,群组组员信息更新:群组中组员更改个人信息，如头像，名称，群组中无法更新至最新，还是初始信息。,groupchat.chat.cannot_or_fail,16,Functional-Social
jayme,10010000007880,群聊的设置中无法设置管理员的，却有设置需管理员同意的相关设置,groupchat.page_view.cannot_or_fail,10,Functional-Social
jayme,10010000008042,点击搜索框，输入群信息，无法单独查找群，查找结果包括个人，群组，公众号等，属于用户体验bug,search.chat.cannot_or_fail,6,Functional-Search
jayme,10010000008062,通过朋友页面右上角发起群聊之后，搜索好友，输入关键字，出现好友列表之后，断开网络，清空搜索框，再输入刚才的关键字，没有提示网络断开，依…,search.page_view.no_prompt,6,Functional-Search
jayme,10010000008008,创建群组的时候，第一步勾选了好友，第二部填写群名称的时候界面没有提示不可以超过多少位字符，但在我字符数满了的时候就再也输入不了字符了。…,groupchat.page_view.no_prompt,5,Functional-Social
jayme,10010000008067,复制表情，在聊天框中粘贴后，无法显示为表情，只能显示表情代码。,message_send.chat.cannot_or_fail,5,Functional-Social
jayme,10010000007904,聊天界面的的上方的更多消息查看，当没有跨越一屏幕的时候，还是会有那个文字提示标签在那里，用户体验有问题，让人误以为有聊天记录，最好是有…,message_send.page_view.wrong_value,5,Functional-Social
jayme,10010000008153,在创建群聊的时候，输入群名称，当群名称字数达到最大数字的时候没有提示用户已达最大字数！,groupchat.chat.no_prompt,4,Functional-Social
jayme,10010000008507,在聊天群里设置群公告，输入公告里正常的数字或汉字可以正常发布，并且在群聊天记录中可以查看到相关数据。但是如果群公告输入的是空格，则在群…,groupchat.page_view.wrong_value,4,Functional-Social
jayme,10010000008364,搜索群后进入到群详细资料页面，显示的资料过于简单，用户无法知道这个群的属性。,search.page_view.cannot_or_fail,4,Functional-Search
jayme,10010000008185,测试需求给出，群聊一次添加好友不能超出20个，但实际测试过程中，可添加好友显示超过20人时，并不会提示一次性添加好友错误，而是在下一步…,groupchat.chat.layout_issue,3,Functional-Social
jayme,10010000008231,点击搜索按钮，输入群信息，在搜索结果中选择未加入的群，并点击，无法查看群信息，并提示未找到群资料，属于用户体验bug,search.button_icon.cannot_or_fail,3,Functional-Search
jayme,10010000008649,选择联系人中，搜索框搜索好友，输入好友用户名的第一个字符，列表无法优先显示已添加好友。而且搜索结果无法明显区分已添加好友和陌生人。搜索…,search.list_item.cannot_or_fail,3,Functional-Search
jayme,10010000008538,页面布局不够完善，且搜索聊天记录较慢，有两个放大镜。,search.page_view.layout_issue,3,Functional-Search
jayme,10010000008714,点击群组，添加群组成员，未提示用户最大选择邀请用户数量，应在20位用户时将按钮置为不可用状态！对待用户不友好,groupchat.button_icon.no_prompt,2,Functional-Social
jayme,10010000008897,改了头像之后显示成功，但是在群聊里不显示改过的头像,groupchat.chat.display_missing,2,Functional-Social
jayme,10010000009098,加入群聊时，未加入的群聊权限为“允许任何人加入该群”，显示也是“加入群聊”，用户分不清哪个是已经加入过的，哪个是未加入的。,groupchat.chat.permission,2,Functional-Social
jayme,10010000008594,操作人员是非群主，在群聊页面，点击群组设置标志，页面转到群组设置页面，点击添加新成员，页面转到添加成员页面，有最近联系人列表，点击要拉…,groupchat.page_view.permission,2,Functional-Social
jayme,10010000008416,不断在聊天框复制粘贴表情，复制表情到30 个以上时会有一定概率应用出现闪退。,message_send.chat.crash,2,Crash
jayme,10010000008149,三星S7560，使用聊天中的历史消息，可以看到控件错位,message_send.chat.layout_issue,2,Functional-Social
jayme,10010000008692,聊天历史记录界面布局不合理，界面不美观。,message_send.page_view.layout_issue,2,Functional-Social
jayme,10010000007965,说可以用手机或邮箱注册，但输入框不接受任何字符输入，所以实际上无法完成邮箱注册。而且同时输入框最右没有一键删除所输入内容的叉号按钮，所…,register.input_box.cannot_input,2,Functional-Account
jayme,10010000009059,在用户注册界面输入手机号码或邮箱时，只能输入数字，不能输入英文，不知是测试手机的原因还是程序设定,register.page_view.cannot_input,2,Functional-Account
jayme,10010000008328,用户进入群“聊天记录”，上面的搜索按钮出现了两个，页面布局有误,search.button_icon.layout_issue,2,Functional-Search
jayme,10010000008754,搜索历史消息时，在日期搜索时右侧的搜索符感觉没用。而且影响布局。,search.chat.layout_issue,2,Functional-Search
jayme,10010000008021,添加好友:添加好有时都不知道搜索结果是怎么排序的，很难找到自己需要添加的好友，也就是关键字完全匹配，可却排在很后面,search.chat.wrong_value,2,Functional-Search
jayme,10010000008017,搜索时，文本框前后加 空格 会导致，无法正常查询到相关联系人，对于文本卡的trim()方法没有调用,search.input_box.cannot_or_fail,2,Functional-Search
雅思听力,10010000000239,练习报告页面，点击分享按钮，选择分享到微信好友，无法分享，提示图片大小超过32kb，正在对图片进行压缩,share.button_icon.cannot_share,3,Functional-Share
雅思听力,10010000000763,第三方登录：微信登录页面无法显示，QQ无法获取权限,login.page_view.permission,2,Functional-Account
雅思听力,10010000000523,"做听力测试时,会出现无法显示网页的情况",playback.audio.cannot_or_fail,2,Functional-Media
雅思听力,10010000000700,"分享漫听软件时,分享到微信和微信朋友圈功能不能实现",share.share_panel.cannot_or_fail,2,Functional-Share
华为运动,10010000012345,有时明明有网，却显示没有网络，无法使用gps功能,gps_track.gps.wrong_value,4,Functional-Tracking
华为运动,10010000012312,步行记录不能及时更新，有时需要等一段时间才能更新步行记录，有时可以及时更新，这会造成用户体验不好,run_walk.list_item.cannot_or_fail,3,Functional-Tracking
华为运动,10010000012469,首页～开始运动，手机提示允许Gps访问，点击确定后，定位正常，可是定位地图页面没有返回图标，且无法返回跑步页面，我在后台关闭应用后才正常。,gps_track.button_icon.cannot_or_fail,2,Functional-Tracking
华为运动,10010000012385,用户在室内跑步运动，不能正常定位。,gps_track.gps.cannot_or_fail,2,Functional-Tracking
华为运动,10010000012490,在跑步的时候，开启GPS的情况下无法进行GPA定位，不显示用户运动的信息。,gps_track.gps.display_missing,2,Functional-Tracking
华为运动,10010000012342,在用户登录界面中，没有提示用户用户名和密码上限字符，并且在密码输入31个字符时不让继续输入但是没有提示，功能不完整。,login.page_view.no_prompt,2,Functional-Account
华为运动,10010000012371,步行:我明明是在走路，可结果记录是跑步100％,run_walk.list_item.wrong_value,2,Functional-Tracking
华为运动,10010000012532,无法同时满足设定的目标。在首页运动模块的右下角，点击目标旗帜，可以选择运动目标，先选择时间30分钟，选择完成后返回到运动模块界面的时候…,run_walk.page_view.cannot_or_fail,2,Functional-Tracking
华为运动,10010000012629,发现_活动页面，无法进行活动搜索，只能选择推荐的活动,search.page_view.cannot_or_fail,2,Functional-Search
华为运动,10010000012430,在活动分享中，用户只能分享到微信朋友圈与微博，不能通过邮箱、qq、Facebook等方式进行分享，用户体验不好,share.share_panel.cannot_or_fail,2,Functional-Share
沪江英语,10010000012014,手机快速登录方式登录，获取验证码60秒内均有效，动态获取动态码后，输入动态码，不直接登录，点击返回，在重新进入手机快速登录页面，刚才填…,login.page_view.wrong_value,3,Functional-Account
沪江英语,10010000012017,当手机号码已经注册后，想起用第三方登录，第三方登录中点击微信登陆不能使用，只会弹出一个界面然后闪退这个界面，回到第三方登录界面。,register.page_view.crash,3,Crash
沪江英语,10010000012093,在HTC ONE (安卓5.0.2)设备上分享课程给微信好友，在已打开并登陆微信的情况下，多次尝试全部提示分享失败。,share.list_item.cannot_share,3,Functional-Share
沪江英语,10010000012000,添加英语课程之后，点击进入课程，课程学习>点击做题：快速做题以后，点击查看结果，等待结果提交之后，点击再来一次出现程序崩溃闪退。,course.list_item.crash,2,Crash
沪江英语,10010000011987,进入某一具体课程的介绍页面（例如旅游从口语学起），对每个课程的评价只能有一份记录，再次增加，会把以前的覆盖了，这个是不合理的，应该把以…,course.page_view.wrong_value,2,UI/Display
沪江英语,10010000012020,用户使用第三方登录，不容易发现登录界面，用户体验差，并且多次点击都无反应，或者反应迟缓，功能缺陷明显。,login.page_view.cannot_or_fail,2,Functional-Account
沪江英语,10010000012203,在评价课程界面，，输入框中输入大量文字之后，点击发送按钮，只有短暂加载提示，没有任何发送成功或失败的提示，并且评价最终没有发送成功。,message_send.input_box.cannot_or_fail,2,Input/Validation
沪江英语,10010000012012,进入注册页面选择其他方式注册，当使用微信注册时，会出现一直转圈的现象，然后圈圈消失，无法进行微信注册。功能不完整。,register.page_view.cannot_or_fail,2,Network/Loading
沪江英语,10010000011978,在用户登录过程中，完成手机号注册时，在修改用户名称界面，用户输入过程中没有提示用户最多输入多少字符，并且没有提示用户名可输入什么类型的字符。,register.page_view.no_prompt,2,Functional-Account
沪江英语,10010000012200,在课程页面最上面一栏搜索自己想要的课程，系统不能根据用户输入的信息自动弹出匹配推荐。,search.page_view.cannot_or_fail,2,Functional-Search
沪江英语,10010000012253,在学习时无法进行下载，收藏，分享，选择下一项，选择列表等操作，用户体验极为不好，这个界面直接没有任何作用！！！！,share.page_view.cannot_or_fail,2,Functional-Share
途牛,10010000002668,聊天入口不容易发现，无法添加好友。,message_send.chat.cannot_or_fail,65,Functional-Social
途牛,10010000002386,点击私聊发送消息，切换到其他应用返回途牛后发送消息失败，提示重发,private_chat.chat.cannot_or_fail,45,Functional-Social
途牛,10010000002732,右上角聊天界面中，通知和聊天板块不能很好的通过左右滑动屏幕切换。不好操作。,message_send.page_view.cannot_or_fail,39,Functional-Social
途牛,10010000002375,陌生用户A与用户B建立私聊路径时，无法添加陌生用户A的信息，无法查找陌生用户，因此无法建立私聊,search.chat.cannot_or_fail,29,Functional-Search
途牛,10010000002473,在进入非自己个人主页，聊天过成功，发送图片时直接采用拍照功能，发送图片失败，偶尔出现。,message_send.image_banner.cannot_or_fail,27,Functional-Social
途牛,10010000002364,"点击发送的语音,进行播放,无法自行停止,只能等待语音播放完毕。",message_send.audio.cannot_or_fail,15,Functional-Media
途牛,10010000003131,第一个人发送的语音会覆盖后面所有联系人发的语音。即使删除删除屏蔽与第一个人的聊天记录也还是会覆盖。,message_send.list_item.wrong_value,14,Functional-Social
途牛,10010000002365,私聊时发送的文字和表情并长按选择图片和文字表情。文字和表情确定可以复制、删除而图片只能删除和保存，不能复制,private_chat.image_banner.cannot_or_fail,14,Functional-Social
途牛,10010000002734,私聊界面发送图片时，选择图片时，图片无法预览,private_chat.page_view.cannot_or_fail,14,Functional-Social
途牛,10010000002748,在私聊中选择拍照功能出现闪退的情况,private_chat.chat.crash,12,Crash
途牛,10010000000823,无法正确定位到用户所处的城市！,gps_track.gps.cannot_or_fail,11,Functional-Tracking
途牛,10010000003528,在消息发送失败后，网络恢复正常后，点击消息重送无反应。,message_send.chat.cannot_send,11,Functional-Social
途牛,10010000002931,"发送消息时不能使用键盘发送,只能用鼠标点击发送图标进行发送。很大程度的影响了用户体验。",message_send.input_box.cannot_or_fail,11,Functional-Social
途牛,10010000003909,播放语音，无法关闭，直至播放结束,playback.audio.cannot_or_fail,11,Functional-Media
途牛,10010000002426,在私聊界面，显示所有的联系人以后，并不能添加用户所想要添加联系人的搜索功能。,search.page_view.cannot_or_fail,11,Functional-Search
途牛,10010000004288,语音消息最长是60s，但是对用户没有提示,message_send.chat.no_prompt,10,Functional-Social
途牛,10010000003904,经过测试，两个用户在面对面，WiFi信号很强的情况下，一用户给另一用户发消息，消息接收存在3~5秒的延迟。,message_send.chat.freeze,9,Performance/Freeze
途牛,10010000002926,要发送图片时，选择好了图片，点击预览后，往左滑动预览各张图片，滑到最后一张再往左滑出现白屏然后闪退回原来选择图片的界面，而且原来选择的…,message_send.page_view.crash,7,Crash
途牛,10010000004108,聊天界面有最近最后一条聊天记录，但是点开来之前所有的聊天记录都被清空了，只有空白界面,message_send.page_view.wrong_value,7,Functional-Social
途牛,10010000002636,关注列表和联系人列表中均无法搜索好友,search.list_item.cannot_or_fail,7,Functional-Search
途牛,10010000002270,将APP分享至朋友圈，微信，微博，QQ均失败。,share.share_panel.cannot_share,7,Functional-Share
途牛,10010000003270,同时和多人进行聊天，会出现程序崩溃现象,message_send.chat.crash,6,Crash
途牛,10010000002920,投诉的时候，只能输入信息，没有提示投诉的原因。投诉体交后，反馈给用户的消息不明确,message_send.chat.wrong_value,6,Functional-Social
途牛,10010000002468,要建立与已经关注人的私聊路径，但是没有出现联系人列表，只有最近联系人列表，无法建立新的私聊路径。要与已经关注的人建立私聊路径，只能通过…,private_chat.list_item.cannot_or_fail,6,Functional-Social
途牛,10010000002559,在私聊时选择照片，点击照片查看详细时，图片进入详细浏览后闪退回到选择照片界面。（使用机型：Bluestacks安卓模拟器）,private_chat.page_view.crash,6,Crash
途牛,10010000003676,在私聊过程中退出途牛应用，重新启动应用，并找到之前未关注的私聊用户，聊天记录显示错误，用户发送的语音应该在右边，并且呈现绿色，但是重新…,private_chat.page_view.wrong_value,6,Functional-Social
途牛,10010000004041,登录途牛后，无法定位到用户当前所在位置，无法找到附近的用户并进行私聊！比方说，我当前所在地为太原市，定位竟然时上海！,login.chat.cannot_or_fail,5,Functional-Account
途牛,10010000000881,在登录到途牛后，使用分享功能，只能通过微博分享，qq和微信都不能进行分享。,login.share_panel.cannot_or_fail,5,Functional-Account
