sample_unit_id,boundary,boundary_display,app,query_id,issue_key,query_text,blind_position,candidate_id,candidate_text,candidate_issue_key,candidate_cluster_id,query_cluster_id,sim_char_tfidf,same_issue_key,same_top_module,cross_cluster,annotator_A,annotator_B,annotator_C,gold_label_majority
TFIDF+HC__Slife__10010000011507,tfidf_hc_K20,TFIDF+HC,Slife,10010000011507,login.other.cannot_or_fail,登录与非登录情况下都可以设定运动目标，有网络和无网络之下也都可以设定运动目标。目标设定有限值，无法满足想要加强运动量的人的需求。,1,10010000010521,在设定运动目标时，当输入的体重分别为30kg和200kg，而其他条件一致时，进入推算结果界面的设定目标步数却一样，当点击确定之后再次进…,step_count.page_view.other,Slife__C1,Slife__C1,0.111398,0,0,0,0,0,0,0
TFIDF+HC__Slife__10010000011507,tfidf_hc_K20,TFIDF+HC,Slife,10010000011507,login.other.cannot_or_fail,登录与非登录情况下都可以设定运动目标，有网络和无网络之下也都可以设定运动目标。目标设定有限值，无法满足想要加强运动量的人的需求。,2,10010000010274,设置运动目标只能在一定范围内选定，不能高于或低于系统设定范围,run_walk.page_view.cannot_or_fail,Slife__C1,Slife__C1,0.089611,0,0,0,0,0,0,0
TFIDF+HC__Slife__10010000011507,tfidf_hc_K20,TFIDF+HC,Slife,10010000011507,login.other.cannot_or_fail,登录与非登录情况下都可以设定运动目标，有网络和无网络之下也都可以设定运动目标。目标设定有限值，无法满足想要加强运动量的人的需求。,3,10010000009927,即使不登录账号也可以进行设置运动目标,login.page_view.other,Slife__C1,Slife__C1,0.140415,0,1,0,0,0,0,0
TFIDF+HC__Slife__10010000011507,tfidf_hc_K20,TFIDF+HC,Slife,10010000011507,login.other.cannot_or_fail,登录与非登录情况下都可以设定运动目标，有网络和无网络之下也都可以设定运动目标。目标设定有限值，无法满足想要加强运动量的人的需求。,4,10010000011524,设定运动目标时可选择的范围过小，如今很多人一天能走两三万步左右，相对于想减肥的人群来说，自然想把目标定高，而该app的根据我的身高体重…,step_count.step.cannot_or_fail,Slife__C1,Slife__C1,0.109937,0,0,0,0,0,0,0
TFIDF+HC__Slife__10010000011507,tfidf_hc_K20,TFIDF+HC,Slife,10010000011507,login.other.cannot_or_fail,登录与非登录情况下都可以设定运动目标，有网络和无网络之下也都可以设定运动目标。目标设定有限值，无法满足想要加强运动量的人的需求。,5,10010000010149,注册后直接登录，退出登录后再登录，不能登录成功,register.other.cannot_or_fail,Slife__C5,Slife__C1,0.080455,0,0,1,0,0,0,0
TFIDF+HC__Slife__10010000011507,tfidf_hc_K20,TFIDF+HC,Slife,10010000011507,login.other.cannot_or_fail,登录与非登录情况下都可以设定运动目标，有网络和无网络之下也都可以设定运动目标。目标设定有限值，无法满足想要加强运动量的人的需求。,6,10010000009911,设定运动目标时，不能进行手工输入步行步数，强迫症患者会感到难受,step_count.step.cannot_or_fail,Slife__C1,Slife__C1,0.119179,0,0,0,0,0,0,0
TFIDF+HC__Slife__10010000011507,tfidf_hc_K20,TFIDF+HC,Slife,10010000011507,login.other.cannot_or_fail,登录与非登录情况下都可以设定运动目标，有网络和无网络之下也都可以设定运动目标。目标设定有限值，无法满足想要加强运动量的人的需求。,7,10010000011075,在有链接网络的情况下，启动微博，再进行分享，点击确定授权，出现网络连接失败!并且点击取消之后回到应用分享的时候页面没有提示分享失败！,share.page_view.cannot_share,Slife__C2,Slife__C1,0.080001,0,0,1,0,0,0,0
TFIDF+HC__Slife__10010000011507,tfidf_hc_K20,TFIDF+HC,Slife,10010000011507,login.other.cannot_or_fail,登录与非登录情况下都可以设定运动目标，有网络和无网络之下也都可以设定运动目标。目标设定有限值，无法满足想要加强运动量的人的需求。,8,10010000010337,在将数据分享到微博时，会提示文件不存在，无法分享。还会提示网络有问题，而网络其实是没有问题的。并且在分享界面中使用kikbug无法截图…,share.page_view.cannot_share,Slife__C17,Slife__C1,0.069528,0,0,1,0,0,0,0
TFIDF+HC__Slife__10010000011507,tfidf_hc_K20,TFIDF+HC,Slife,10010000011507,login.other.cannot_or_fail,登录与非登录情况下都可以设定运动目标，有网络和无网络之下也都可以设定运动目标。目标设定有限值，无法满足想要加强运动量的人的需求。,9,10010000011251,当完成运动目标后，选择分享到社交平台，无法使用提供的朋友圈图标按钮分享到微信朋友圈，显示发送失败,share.button_icon.cannot_send,Slife__C2,Slife__C1,0.071873,0,0,1,0,0,0,0
TFIDF+HC__Slife__10010000011507,tfidf_hc_K20,TFIDF+HC,Slife,10010000011507,login.other.cannot_or_fail,登录与非登录情况下都可以设定运动目标，有网络和无网络之下也都可以设定运动目标。目标设定有限值，无法满足想要加强运动量的人的需求。,10,10010000010111,在进行运动目标设置的时候，系统会提醒建议运动量基于Roza和Shizga修正的HarrisBenedict的公式计算，但是却并没有给出…,notification.page_view.other,Slife__C0,Slife__C1,0.068708,0,0,1,0,0,0,0
