__sheet__,app,id,id_norm,issue_key,issue_key_norm,text_used,raw_text_len,norm_text_len,has_anchor
jayme,jayme,10010000009466,10010000009466,register.other.cannot_or_fail,register.other.cannot_or_fail,注册账号时若输入字符无法显示，将导致无法用邮箱注册,25,24,1
jayme,jayme,10010000008326,10010000008326,groupchat.chat.cannot_or_fail,groupchat.chat.cannot_or_fail,必须选择至少一个好友才可以创建群聊，单独自己不可以,25,24,1
jayme,jayme,10010000007965,10010000007965,register.input_box.cannot_input,register.input_box.cannot_input,说可以用手机或邮箱注册，但输入框不接受任何字符输入，所以实际上无法完成邮箱注册。而且同时输入框最右没有一键删除所输入内容的叉号按钮，所…,68,63,1
jayme,jayme,10010000009059,10010000009059,register.page_view.cannot_input,register.page_view.cannot_input,在用户注册界面输入手机号码或邮箱时，只能输入数字，不能输入英文，不知是测试手机的原因还是程序设定,48,45,1
jayme,jayme,10010000008719,10010000008719,register.page_view.cannot_or_fail,register.page_view.cannot_or_fail,在注册页面无法使用邮箱进行注册,15,15,1
jayme,jayme,10010000008005,10010000008005,register.other.other,register.other.other,写的有邮箱注册，但是无邮箱特殊符号@,18,16,1
jayme,jayme,10010000008227,10010000008227,register.other.cannot_or_fail,register.other.cannot_or_fail,注册时输入不进去@，无法用邮箱进行注册,19,17,1
jayme,jayme,10010000007984,10010000007984,register.other.cannot_or_fail,register.other.cannot_or_fail,注册杰迷吧的时候，提示可以用手机和邮箱注册，可是实际上邮箱并不能注册,34,32,1
jayme,jayme,10010000007892,10010000007892,register.other.cannot_or_fail,register.other.cannot_or_fail,当进行注册时，实验邮箱注册时无法弹出@符号，也没有邮箱提示。给用户注册带来麻烦,39,35,1
jayme,jayme,10010000009472,10010000009472,register.page_view.cannot_input,register.page_view.cannot_input,注册页面提示可以使用邮箱注册，但是注册的时候不能输入字母。用邮箱注册的功能不能实现。,42,39,1
jayme,jayme,10010000007514,10010000007514,register.other.cannot_input,register.other.cannot_input,步骤2后使用邮箱注册时，无法输入@符号及其以后的信息，见截图1，因此无法通过邮箱进行注册,44,40,1
jayme,jayme,10010000008834,10010000008834,register.page_view.other,register.page_view.other,在注册界面，提醒用户可以选择手机注册或者邮箱注册，但是只能选择手机注册，邮箱注册功能没有实现。,47,43,1
jayme,jayme,10010000007803,10010000007803,register.share_panel.cannot_input,register.share_panel.cannot_input,邮箱注册时，只能输入前面的数字，不能输入后面的“@qq.com”。,33,26,1
jayme,jayme,10010000007895,10010000007895,register.other.other,register.other.other,首次使用进行注册（功能不完整）,15,13,1
jayme,jayme,10010000007951,10010000007951,register.input_box.only_number,register.input_box.only_number,进入app，进行注册账号时，提示可以使用手机号或者邮箱注册，但是使用邮箱无法注册，只能输入数字并不能切换键盘，并且在输入过程中控制只能…,68,62,1
jayme,jayme,10010000008404,10010000008404,register.input_box.cannot_input,register.input_box.cannot_input,当首次进入APP是，显示周杰伦的欢迎视频，视频播放完成有出现“注册”页面，提示“请输入电话号码或邮箱”，但是输入时该输入框只能输入数字…,68,59,1
jayme,jayme,10010000008879,10010000008879,groupchat.other.wrong_value,groupchat.other.wrong_value,当该群显示为任何人都可以加入时，群主可以修改加人的方式，比如需管理员审核。预期结果原本是组内其他人拉人时需要管理员审核，而群主拉人时不…,68,63,1
jayme,jayme,10010000009341,10010000009341,groupchat.chat.other,groupchat.chat.other,测试功能：将好友拉入群组,12,11,1
jayme,jayme,10010000008770,10010000008770,groupchat.other.other,groupchat.other.other,群成员在拉人时，只需要单方面邀请便可以将该成员拉入组内，这会给对方造成比较大的麻烦，有时候不想进的组也可以拉你进入。,58,54,1
jayme,jayme,10010000008514,10010000008514,groupchat.other.other,groupchat.other.other,群主可以无条件地把人拉入群内，无论此人是否同意,23,22,1
jayme,jayme,10010000009244,10010000009244,other.chat.other,other.chat.other,拉黑一个好友之后，仍然能够不经过对方同意便拉对方进入群内。,29,27,1
jayme,jayme,10010000009220,10010000009220,other.other.other,other.other.other,（1）步骤重现：,8,5,1
jayme,jayme,10010000008504,10010000008504,groupchat.chat.other,groupchat.chat.other,A用户建立群组,7,7,1
jayme,jayme,10010000008737,10010000008737,groupchat.other.other,groupchat.other.other,当群主添加群成员时，不用经过成员的同意就可以直接拉人进群。,29,27,1
